Product_Code,av_qty,Uni_RMSE,Multi_RMSE,Improvement_%
PO1188,,179.21,163.25,8.9
PO1181,,178.47,163.46,8.41
PO1237,,161.79,150.74,6.83
PO1193,,159.62,150.45,5.75
PO1179,,395.63,381.07,3.68
PO1357,,422.26,407.32,3.54
PO1191,,514.24,497.62,3.23
PO1243,,234.73,228.1,2.82
PO1100,,232.06,225.62,2.78
PO1289,,184.18,179.16,2.73
PO1099,,228.76,222.54,2.72
PO1281,,163.86,159.49,2.67
PO1196,,182.13,177.42,2.59
PO1001,,322.28,314.01,2.57
PO1118,,275.23,268.22,2.55
PO1005,,290.91,283.52,2.54
PO1192,,268.11,261.41,2.5
PO1006,,270.4,263.86,2.42
PO1009,,168.13,164.16,2.36
PO1004,,327.81,320.1,2.35
PO1003,,371.22,362.55,2.34
PO1117,,318.27,310.83,2.34
PO1182,,162.29,158.59,2.28
PO1002,,352.57,344.62,2.25
PO1187,,272.56,266.51,2.22
PO1200,,333.43,326.02,2.22
PO1061,,173.44,169.86,2.06
PO1194,,527.1,516.79,1.96
PO1222,,358.27,351.47,1.9
PO1031,,560.75,550.13,1.89
PO1361,,576.18,566,1.77
PO1280,,159.17,156.41,1.74
PO1186,,623.33,613.83,1.53
PO1223,,150.71,148.71,1.33
PO1095,,577.21,569.59,1.32
PO1126,,443.06,437.83,1.18
PO1097,,747.06,739.45,1.02
PO1098,,645.68,640.56,0.79
PO1197,,138.07,137.2,0.63
PO1096,,784.76,780.36,0.56
PO1127,,133.4,133.78,-0.28
PO1249,,1383.81,1394.58,-0.78
PO1309,,1752.31,1770.31,-1.03
PO1190,,836.27,845.47,-1.1
PO1248,,1662.31,1680.93,-1.12
PO1123,,2392.14,2423.64,-1.32
PO1124,,1346.29,1365.14,-1.4
PO1308,,3236.3,3293.62,-1.77
PO1282,,120.81,123.88,-2.54
PO1378,,653.13,672.6,-2.98
PO1106,,2726.49,2816.39,-3.3
PO0890,,2739.35,2914.45,-6.39
PO0889,,2948.43,3873.06,-31.36
