date,dex_sl_us
1/2/2019,182.8
1/3/2019,182.65
1/4/2019,182.5
1/7/2019,182.1
1/8/2019,182.5
1/9/2019,182.3
1/10/2019,181.9
1/11/2019,181.8
1/15/2019,182.1
1/16/2019,182.2
1/17/2019,181.4
1/18/2019,181.4
1/22/2019,182.05
1/23/2019,182
1/24/2019,181.5
1/25/2019,181.5
1/28/2019,181.45
1/29/2019,180.6
1/30/2019,179.15
1/31/2019,178.15
2/1/2019,176.4
2/4/2019,176.4
2/5/2019,178
2/6/2019,177.4
2/7/2019,177.5
2/8/2019,177.5
2/11/2019,177.55
2/12/2019,178.2
2/13/2019,178.3
2/14/2019,178.4
2/15/2019,178.5
2/19/2019,179.4
2/21/2019,179.35
2/22/2019,179.3
2/25/2019,179.6
2/26/2019,179.7
2/27/2019,179.7
2/28/2019,179.9
3/1/2019,179.6
3/4/2019,179.6
3/5/2019,178.85
3/6/2019,178.3
3/7/2019,178.5
3/8/2019,178.4
3/11/2019,178.45
3/12/2019,178.6
3/13/2019,178.8
3/14/2019,178.8
3/15/2019,178.4
3/18/2019,178.2
3/19/2019,178.4
3/20/2019,178.4
3/21/2019,177.95
3/22/2019,177.95
3/25/2019,178.05
3/26/2019,177.25
3/27/2019,176.05
3/28/2019,176.1
3/29/2019,175.35
4/1/2019,174.25
4/2/2019,174.4
4/3/2019,174.6
4/4/2019,174.5
4/5/2019,174.7
4/8/2019,174.55
4/9/2019,174.65
4/10/2019,174.55
4/11/2019,174.45
4/12/2019,174.5
4/15/2019,174.5
4/16/2019,174.6
4/17/2019,174.5
4/18/2019,173.95
4/19/2019,173.95
4/22/2019,174.5
4/23/2019,174.5
4/24/2019,174.7
4/25/2019,175
4/26/2019,175.2
4/29/2019,175.6
4/30/2019,176
5/1/2019,176
5/2/2019,176.4
5/3/2019,177.15
5/6/2019,177.2
5/7/2019,176.75
5/8/2019,174.4
5/9/2019,175.2
5/10/2019,175.98
5/13/2019,176.5
5/14/2019,176.39
5/15/2019,176.1
5/16/2019,175.9
5/17/2019,175.7
5/20/2019,175.7
5/21/2019,176.07
5/22/2019,176.35
5/23/2019,176.35
5/24/2019,176.35
5/28/2019,176.15
5/29/2019,176.15
5/30/2019,176.25
5/31/2019,176.26
6/3/2019,176.4
6/4/2019,176.35
6/5/2019,176.25
6/6/2019,176.35
6/7/2019,176.25
6/10/2019,176.3
6/11/2019,176.39
6/12/2019,176.44
6/13/2019,176.5
6/14/2019,176.68
6/17/2019,176.7
6/18/2019,176.66
6/19/2019,176.66
6/20/2019,176.65
6/21/2019,176.55
6/24/2019,176.4
6/25/2019,176.39
6/26/2019,176.5
6/27/2019,176.5
6/28/2019,176.35
7/1/2019,176.2
7/2/2019,176.25
7/3/2019,175.95
7/5/2019,176.05
7/8/2019,176.1
7/9/2019,175.6
7/10/2019,175.3
7/11/2019,175.3
7/12/2019,175.4
7/15/2019,175.6
7/16/2019,176.01
7/17/2019,175.6
7/18/2019,175.65
7/19/2019,175.75
7/22/2019,175.75
7/23/2019,176
7/24/2019,176.16
7/25/2019,176.1
7/26/2019,176.1
7/29/2019,176.11
7/30/2019,176.15
7/31/2019,176.3
8/1/2019,176.44
8/2/2019,176.6
8/5/2019,176.8
8/6/2019,177.35
8/7/2019,177.3
8/8/2019,176.8
8/9/2019,176.75
8/12/2019,176.75
8/13/2019,176.85
8/14/2019,176.85
8/15/2019,177.1
8/16/2019,177.1
8/19/2019,177.3
8/20/2019,177.9
8/21/2019,178.75
8/22/2019,179.4
8/23/2019,179.81
8/26/2019,179.5
8/27/2019,179.65
8/28/2019,180.2
8/29/2019,180.25
8/30/2019,179.2
9/3/2019,180.2
